am hiểu
an ninh
an phận
an toàn
an ủi
anh em
ao hồ
ao ước
ba gác
ba má
ban đầu
bao gồm
bay hơi
bi hài
bi kịch
bi quan
bi thảm
bi đát
binh sĩ
biên bản
biến đổi
biết ơn
biển cả
biểu mô
biện hộ
biệt thự
buôn bán
buồn bã
buộc tội
bà ba
bà con
bài bản
bàn giao
bào chữa
bày tỏ
bá đạo
bác sĩ
bám trụ
bán kết
bánh mì
báo cáo
bát đĩa
báu vật
bã nhờn
bãi bỏ
bè bạn
bè phái
bé bỏng
bé nhỏ
béo bở
bê bối
bênh vực
bình dị
bí danh
bí hiểm
bí mật
bí ngô
bí quyết
bí thư
bí ẩn
bò sữa
bò tót
bó tay
bóc lột
bóng đá
bóp cổ
bô lão
bôi nhọ
bôn ba
bù trừ
bù đắp
bùn lầy
bùng nổ
búa rìu
bún chả
bút danh
băng giá
bơ vơ
bơi lội
bưu cục
bước đi
bạc hà
bạch hầu
bại liệt
bạn bè
bạo lực
bạt ngàn
bản thân
bảo vệ
bấp bênh
bất ngờ
bấy lâu
bầu cử
bẩm sinh
bẩn thỉu
bận tâm
bật lửa
bậy bạ
bắp cải
bắt đầu
bằng cấp
bẽ bàng
bẽn lẽn
bế mạc
bế tắc
bến xe
bếp núc
bề bộn
bề mặt
bề ngoài
bền vững
bệnh tật
bị can
bị động
bịa đặt
bọ gậy
bỏ bê
bỏ dở
bỏ hoang
bỏ lửng
bỏ mạng
bỏ ngỏ
bỏ phiếu
bỏ qua
bỏ rơi
bỏ sót
bỏ túi
bố cục
bố ráp
bố trí
bốc hơi
bối cảnh
bồ câu
bồi đắp
bồn tắm
bổ dưỡng
bổ nhiệm
bổ sung
bổ trợ
bổ ích
bổn phận
bộ binh
bộ cánh
bộ dạng
bộ hành
bộ lạc
bộ máy
bộ nhớ
bộ phận
bộ óc
bộ đồ
bộc lộ
bội thu
bộn bề
bột ngọt
bởi lẽ
bỡ ngỡ
bụi bặm
bủa vây
bủn rủn
bức xúc
bứt rứt
bừa bãi
bực bội
ca hát
ca khúc
ca múa
ca ngợi
ca sĩ
ca trù
cai trị
cam kết
can ngăn
canh tác
cao tốc
cay đắng
cha mẹ
chao đảo
che giấu
chen lấn
cheo leo
chi phí
chia sẻ
chiến sĩ
cho hay
chu đáo
chua cay
chuẩn bị
chà đạp
chào đón
chán nản
chân tay
chèn ép
chê bai
chìm đắm
chí sĩ
chính tả
chói lọi
chót vót
chôn cất
chú rể
chúng em
chút ít
chăm sóc
chăn thả
chơi đùa
chư hầu
chạm mặt
chạy đua
chấm dứt
chấp bút
chất vấn
chần chừ
chậm trễ
chật hẹp
chắc ăn
chắp vá
chặt chẽ
chế độ
chỉ đạo
chỉnh tề
chị em
chịu khó
chọn lựa
chốc lát
chối từ
chống đỡ
chỗ đứng
chớp mắt
chờ đợi
chợ đen
chủ đề
chức vụ
chứng cứ
chữ cái
co bóp
co cụm
co giật
co quắp
co rút
co thắt
coi sóc
con số
cung cấp
cuốc bộ
cuốn hút
cuộc đời
cà chua
cà khịa
càn quét
cá biệt
cá chép
cá heo
cá lóc
cá mập
cá nhân
cá rô
cá sấu
cá tính
cá voi
cá đuối
cách tân
cám dỗ
cán bộ
cánh tay
cát cứ
cáu gắt
cân đối
câu kết
cây xanh
cãi vã
còi cọc
còm cõi
có hạn
có mặt
có thai
có ích
cô giáo
cô lập
cô đơn
côn đồ
công bố
cõi đời
cùi chỏ
cùng cực
cú pháp
cú sút
cúng tế
căm ghét
căn hộ
cũ nát
cũng nên
cơ bản
cơ chế
cơ giới
cơ hội
cơ khí
cơ nhỡ
cơ quan
cơ sở
cơ thể
cơi nới
cơm bữa
cư dân
cư trú
cư xử
cưu mang
cương vị
cước phí
cướp bóc
cường độ
cưỡng ép
cả tin
cải tạo
cảm xúc
cản trở
cảnh báo
cấm vận
cấp cứu
cất cánh
cấu trúc
cầm đầu
cần cẩu
cầu thủ
cẩn thận
cẩu thả
cận thị
cắm cúi
cắt cổ
cằn cỗi
cẳng tay
cặm cụi
cặn kẽ
cọ xát
cỏ cây
cố chấp
cố gắng
cố hữu
cố tình
cố vấn
cố định
cốt lõi
cồn cào
cổ chân
cổ họng
cổ kính
cổ phần
cổ tích
cổ vũ
cổ xưa
cổ đông
cột sống
cờ bạc
cờ vua
cởi mở
cục bộ
của cải
củng cố
cứ liệu
cứ điểm
cứng cáp
cứu hộ
cừ khôi
cử chỉ
cử hành
cử tri
cử động
cửa hàng
cự li
cực đoan
cựu binh
da cam
da diết
da gà
da thịt
da đầu
dai dẳng
dang dở
danh dự
day dứt
di cư
di dân
di sản
di tích
di vật
di động
diễn tả
do dự
doanh số
du dương
du học
du khách
du lịch
du nhập
du xuân
dung nạp
duy trì
dài hạn
dàn xếp
dành dụm
dày đặc
dáng vẻ
dân cư
dâu tây
dây điện
dã chiến
dã man
dã ngoại
dè bỉu
dè chừng
dè dặt
dìu dắt
dí dỏm
dính líu
dò hỏi
dò xét
dòm ngó
dòng họ
dông bão
dù rằng
dùi cui
dĩ vãng
dũng cảm
dơ bẩn
dư dả
dư luận
dư thừa
dư vị
dưa hấu
dương xỉ
dược sĩ
dạ dày
dạ hội
dạn dĩ
dạy học
dấn thân
dấu hiệu
dầu mỏ
dẫn đầu
dậy thì
dặn dò
dẻo dai
dễ chịu
dễ dàng
dễ tính
dị bản
dị dạng
dị nghị
dị tật
dị đoan
dị ứng
dịch vụ
dịu dàng
dọa nạt
dọn dẹp
dối trá
dồi dào
dồn dập
dở dang
dụ dỗ
dụng cụ
dứt điểm
dữ dội
dữ kiện
dữ liệu
dự bị
dự kiến
dự luật
dự phòng
dự thảo
dự án
dự định
dựa dẫm
em gái
em trai
em út
eo biển
eo hẹp
gai góc
gan dạ
gang tấc
gay gắt
ghen tị
ghi nhận
ghê gớm
ghế dài
gia đình
giai cấp
giam giữ
gian lận
giao lưu
gieo rắc
giun sán
già yếu
giàu có
giày dép
giá trị
giác mạc
giám đốc
giáo dục
giãi bày
giãn nở
gió bão
giúp đỡ
giả mạo
giải trí
giảm giá
giản dị
giấc ngủ
giấy tờ
giẫm đạp
giận dữ
giật gân
giằng co
giặt giũ
giới hạn
giờ giấc
giữ gìn
gom góp
gào thét
gánh vác
gân cốt
gây rối
gìn giữ
gò bó
gò má
góc cạnh
gói ghém
góp phần
găng tay
gạ gẫm
gạo tẻ
gấp gáp
gầm gừ
gần gũi
gật gù
gậy gộc
gắn bó
gắng sức
gắt gao
gặp gỡ
gặt hái
gọi là
gọn gàng
gốc rễ
gồ ghề
gột rửa
gỡ rối
gợi cảm
gửi gắm
hao hụt
hay biết
hi sinh
hi vọng
hiếm hoi
hiến kế
hiếp dâm
hiếu học
hiểm hóc
hiển vi
hiện đại
hiệu quả
hoa quả
hoan hỉ
hoài cổ
hoàn tất
hoạn nạn
hoạt bát
hun đúc
hung dữ
huy động
huyết áp
huyền ảo
hà khắc
hài lòng
hàm ếch
hàn gắn
hàng đầu
hành vi
hào hứng
há hốc
háo hức
hát bội
hâm mộ
hân hoan
hãm hại
hèn hạ
hì hục
hình sự
hò hét
hò reo
hóc búa
hóm hỉnh
hô hấp
hôi thối
hôm nay
hôn mê
hù dọa
hùng vĩ
hăm dọa
hăng hái
hư cấu
hư hỏng
hưu trí
hạ bệ
hạ cánh
hạ du
hạ giới
hạ lưu
hạ màn
hạ sát
hạ tầng
hạn chế
hạng mục
hạt nhân
hả hê
hải sản
hảo tâm
hấp dẫn
hầm hố
hầu bao
hẩm hiu
hậu quả
hắc tố
hắt hơi
hẳn hoi
hẹn hò
hẹp hòi
hẻo lánh
hết sức
hề hấn
hệ quả
hệ số
hệ thống
họ hàng
học tập
họp báo
hỏi han
hốc mắt
hối lộ
hồ hởi
hồ sơ
hồ tiêu
hồi phục
hồng cầu
hổ thẹn
hổn hển
hỗ trợ
hỗn hợp
hộ chiếu
hộ khẩu
hộ mệnh
hộ tịch
hội đàm
hộp số
hớn hở
hớt tóc
hợp tác
hủ tiếu
hứa hẹn
hứng thú
hữu ích
im lặng
im ắng
in hình
inh ỏi
kha khá
khai mạc
khiêu vũ
khiếp sợ
kho bãi
khoa học
khoe mẽ
khu vực
khác gì
khám phá
khán giả
khéo léo
khép kín
khí hậu
khích lệ
khò khè
khó khăn
khóc lóc
khói lửa
khô ráo
khôn lớn
khúc xạ
khơi mào
khư khư
khước từ
khả năng
khảo sát
khấu trừ
khẩn cấp
khẩu vị
khắc khổ
khắp nơi
khắt khe
khối óc
khốn khó
khổ sở
khổng lồ
khởi tố
khứ hồi
kim loại
kinh tế
kiên cố
kiếm ăn
kiến tạo
kiềm chế
kiều bào
kiểm tra
kiểu mẫu
kiệt sức
kèm cặp
kém cỏi
kéo dài
kê khai
kêu gọi
kình ngư
kí kết
kí ức
kích cỡ
kín đáo
kính yêu
kĩ thuật
kẻ cướp
kẻ gian
kẻ trộm
kế cận
kế hoạch
kế toán
kế vị
kếch xù
kết quả
kể ra
kỉ lục
kỉ niệm
kịch bản
kịp thời
kỳ dị
la hét
la liệt
la mắng
la rầy
lai lịch
lan can
lanh lợi
lao động
lau chùi
lay lắt
le lói
len lỏi
leo trèo
linh hồn
liên hệ
liệt sĩ
lo liệu
lo sợ
loại bỏ
loạn xạ
lu mờ
lui tới
lung lay
luân lưu
luận án
luật sư
làm việc
làn sóng
làng xã
lành lặn
lá chắn
lá lách
lá sen
lác đác
lái xe
lán trại
lánh nạn
lâm sàng
lân cận
lâu dài
lãi suất
lãng phí
lãnh đạo
lèo lái
lén lút
lép vế
lê thê
lên án
lì lợm
lí do
lót tay
lôi kéo
lông mi
lùng sục
lúa mì
lăn xả
lăng mạ
lũ lụt
lơ là
lơ mơ
lơ đãng
lưu trú
lưỡng lự
lượn lờ
lạ lùng
lạ mặt
lạc quan
lạm phát
lạnh giá
lảo đảo
lấn át
lấp lánh
lấy làm
lầm lỗi
lần lượt
lầy lội
lẩn trốn
lẩy bẩy
lẫn lộn
lẫy lừng
lận đận
lập luận
lật đổ
lắc đầu
lắp ráp
lắt léo
lặn lội
lặng lẽ
lặt vặt
lẻ tẻ
lề lối
lề đường
lễ nghi
lễ phép
lễ tân
lễ vật
lệ phí
lệ thuộc
lệch lạc
lịch sử
lọt lưới
lỏng lẻo
lố bịch
lốm đốm
lồi lõm
lỗ hổng
lỗ tai
lỗi lầm
lộ diện
lộ trình
lộn xộn
lộng lẫy
lột xác
lớn tuổi
lớp học
lờ đờ
lời nói
lở loét
lợi ích
lục địa
lụp xụp
lừa đảo
lữ hành
lựa chọn
ma chay
ma quái
ma trận
mai sau
man rợ
manh mối
mao mạch
mau lẹ
may mắn
minh oan
miêu tả
miễn phí
miệt mài
mong đợi
mua sắm
mà còn
mà lại
màn ảnh
màng não
màu sắc
mày mò
mái tóc
mát mẻ
máy bay
mây mù
mã hóa
mã lực
mã số
mã tấu
mãn tính
méo mó
mét khối
mê hoặc
mê mẩn
mê sảng
mê tín
mò mẫm
mòn mỏi
móc túi
mô hình
mô phỏng
mô tả
môi giới
môn học
mù chữ
mù mịt
mù quáng
mùa vụ
mùi vị
múa rối
múi giờ
mũi nhọn
mơ hồ
mơ màng
mơ ước
mưa rào
mưu sinh
mượt mà
mạch lạc
mại dâm
mạnh mẽ
mạo hiểm
mải mê
mảy may
mấp mô
mất mát
mấu chốt
mấy khi
mầm non
mẫn cán
mẫu giáo
mập mờ
mật độ
mắc kẹt
mắm tôm
mắt kính
mặc cảm
mặn mà
mặt bằng
mẹ kế
mếu máo
mềm mại
mệt mỏi
mỉa mai
mịn màng
mịt mù
mỏ neo
mỏi mệt
mồ hôi
mổ xẻ
mộ phần
mộc mạc
một hai
mới lạ
mờ nhạt
mờ ám
mờ ảo
mời mọc
mở cửa
mở màn
mở rộng
mở toang
mở đường
mục tiêu
mụn nhọt
mức độ
mừng rỡ
nam nữ
nan giải
neo đơn
nghi ngờ
nghĩa vụ
nghệ sĩ
nghỉ hè
nghị án
ngon ăn
ngu ngốc
nguy hại
ngà voi
ngày đêm
ngây thơ
ngã ngũ
ngò gai
ngòi nổ
ngón tay
ngôi sao
ngôn ngữ
ngõ hẻm
ngăn cản
ngũ cốc
ngơ ngác
ngư dân
ngập lụt
ngắn hạn
ngộ độc
ngớ ngẩn
ngờ vực
ngụ cư
ngủ gật
ngữ pháp
nha sĩ
nham nhở
nhan sắc
nhiệm vụ
nho nhỏ
nhu cầu
nhà cửa
nhàn rỗi
nhào lộn
nháy mắt
nhân dân
nhã nhặn
nhãn cầu
nhóm họp
nhũ đá
như là
nhạc cụ
nhạy cảm
nhảm nhí
nhảy múa
nhấp nhô
nhất trí
nhầm lẫn
nhẫn nại
nhận xét
nhập cư
nhắc nhở
nhắm mắt
nhắn tin
nhẹ nhõm
nhịp độ
nhỏ bé
nhổ neo
nhớ đời
nhờ vả
nhục mạ
niêm yết
niên đại
niềm tin
no ấm
non nớt
nuôi cấy
nài nỉ
nào đó
náo loạn
nâng cấp
não bộ
né tránh
nên thơ
nói dối
nóng hổi
nô lệ
nô nức
nô đùa
nôm na
nôn mửa
nông sản
núi rừng
núm vú
núp bóng
năm học
năng lực
nơm nớp
nước mắt
nạn nhân
nạo vét
nản chí
nảy sinh
nấm men
nấu ăn
nắm bắt
nằm mơ
nặng nề
nề hà
nề nếp
nền tảng
nể nang
nối đuôi
nồng độ
nổ mìn
nổi bật
nỗ lực
nỗi niềm
nội địa
nới lỏng
nợ nần
nức nở
nứt nẻ
nửa đêm
nữ giới
nữ sinh
nữ tính
oan ức
oanh tạc
oi bức
pha chế
phai mờ
phe phái
phi công
phim ảnh
phiền hà
phong độ
phu nhân
phàn nàn
phá sản
phán xử
pháo hoa
phát huy
phân bổ
phê bình
phì đại
phí tổn
phòng hộ
phó mặc
phóng xạ
phô diễn
phù hợp
phúc lợi
phơi bày
phạm vi
phạt đền
phải chi
phản ánh
phấn đấu
phần nào
phẩm giá
phẫn nộ
phận sự
phế liệu
phối hợp
phổ biến
phụ nữ
phục vụ
phụng sự
phủ nhận
phức tạp
qua đời
quai bị
quan hệ
quen mặt
quy mô
quyến rũ
quà cáp
quá khứ
quái ác
quán xá
quân đội
quét dọn
quê nhà
quý mến
quạt máy
quả cảm
quảng bá
quấy rối
quần áo
quốc tế
quỳ gối
ra dáng
ra hiệu
ra lệnh
ra mắt
ra quân
ra sức
ra tay
ra vào
ra đời
rau câu
reo hò
riêng lẻ
run rẩy
ruột non
rà soát
rành rẽ
rác rưởi
ráo riết
râm ran
râu ria
rèn giũa
rên rỉ
rêu tản
rình rập
ròng rã
rôm rả
rõ ràng
rùng rợn
rút lui
răn đe
răng cưa
rơi vãi
rơm rạ
rườm rà
rượu bia
rạch ròi
rạn nứt
rạng rỡ
rải rác
rảnh rỗi
rầm rộ
rần rần
rậm rạp
rắc rối
rẻ mạt
rẻ tiền
rọ mõm
rối loạn
rộn rã
rộng rãi
rời rạc
rụt rè
rủ rê
rủi ro
rừng núi
rửa tội
rực rỡ
sa lầy
sa mạc
sa ngã
sa sút
sa thải
sa đà
sai lầm
san hô
sang tên
sao chép
sau này
say mê
sinh kế
siêu thị
so sánh
soi xét
son sắt
song ca
sum vầy
sung sức
suy yếu
suôn sẻ
sà lan
sàn diễn
sàng lọc
sành sỏi
sách vở
sám hối
sáng tạo
sáp nhập
sát sao
sân bay
sâu sắc
sình lầy
sóng gió
sôi động
súc vật
súp lơ
săm soi
săn đón
sĩ quan
sĩ tử
sơ bộ
sơ cứu
sơ hở
sơ khảo
sơ mi
sơ qua
sơ sinh
sơ thẩm
sơ đẳng
sơn mài
sư phụ
sưu tập
sương mù
sạch sẽ
sản phẩm
sầm uất
sần sùi
sẩy thai
sắc đẹp
sắm sửa
sắp xếp
sắt thép
sẵn sàng
sặc sỡ
sền sệt
sỉ nhục
số chẵn
số dư
số hiệu
số lượng
số một
số phận
số ít
sống sót
sốt rét
sổ mũi
sổ sách
sổ tay
sở hữu
sở thích
sợ hãi
sợ sệt
sục sôi
sụp đổ
sụt sùi
sủi bọt
sứ giả
sứ mệnh
sứ quán
sức khỏe
sứt mẻ
sừng sỏ
sử dụng
sử gia
sử học
sử liệu
sửa đổi
sửng sốt
sữa đặc
sững sờ
sự cố
sự kiện
sự thật
sự việc
tai nạn
tam cấp
tan rã
tang lễ
tao nhã
tay lái
teo cơ
tha thứ
thai nhi
tham gia
than đá
thao tác
thay đổi
theo dõi
thi đấu
thiên vị
thiết bị
thiểu số
thoái vị
thu hút
thua lỗ
thuốc lá
thành tố
thái độ
tháo gỡ
thâm hụt
thân thể
thâu tóm
thê thảm
thì giờ
thí sinh
thóa mạ
thô bạo
thông lệ
thùng xe
thú vị
thúc đẩy
thăm hỏi
thơ ấu
thư giãn
thạc sĩ
thả nổi
thảm sát
thảo mộc
thấp bé
thất bại
thấu đáo
thần tốc
thầy trò
thẩm vấn
thậm tệ
thập kỉ
thật sự
thắc mắc
thắt cổ
thằn lằn
thặng dư
thế giới
thể hiện
thị xã
thịnh nộ
thống kê
thổ lộ
thờ cúng
thời hạn
thở dài
thợ hồ
thụ động
thụt lùi
thủ tục
thứ bảy
thức ăn
thừa kế
thử sức
thực tế
tim mạch
tin cậy
tinh vi
tiên tri
tiêu cực
tiến độ
tiếp tục
tiết lộ
tiềm ẩn
tiền mặt
tiểu học
tiễn đưa
tiệm cận
tiện lợi
to lớn
to tiếng
toàn cầu
toán học
tra cứu
trai trẻ
trang bị
trao trả
trau dồi
treo cổ
tri ân
triệt để
trung lộ
truy tố
trà trộn
tràn lan
trào lưu
trái tim
tráng lệ
trâu bò
trì trệ
trình độ
trìu mến
trí tuệ
trò chơi
trót lọt
trôi nổi
trù phú
trùng tu
trú ẩn
trúng cử
trăm năm
trăn trở
trơn tru
trước bạ
trạm xá
trả lời
trấn an
trầm cảm
trận mạc
trật tự
trắc ẩn
trẻ em
trị giá
trọn vẹn
trổ tài
trộm cắp
trời đất
trở lại
trợ cấp
trụ sở
